stock_uniquename	HORSEPOWER	REINS	NATTY	SPURS	HAYDEN	CORRAL	NEWBURG	OGLE	SABER	ESKER	COLT	BAKER	DEON	BUCKSKIN	GOLIATH	WARRIOR	GOPHER	LEGGETT	EXCEL	IL15-5752	IL17-1253	IL17-1704	IL17-5238	IL17-7334	IL17-7339	RUSHMORE	ND161488	A11	A25	A10	SD181237	SD170935	SD181245	SD180580	SD181377	ND170307	SADDLE	OT2130	MN18038X_008	ND170376	MN18015X_004	WI_X10642-3	WI_X10680-3	WI_X10710-7	OT3120	SD190850	SD190992	SD191467
IL17-1253	-0.103873706003459	0.102437518171433	-0.159591142188568	0.208172793003367	-0.180960071187975	0.557808024013136	0	0.197111884952558	0.227572350142835	-0.0111069279723598	-0.031985477623683	0.104243173607604	-0.0166927364828998	0.384386580246457	-0.314917757409815	0.0374058510750593	-0.251342891375273	0	0.174408447106346	-0.0168724631527394	1.15463573719992	0.00422558593757968	0.194986260668341	0.297026798637056	0.293651735918848	-0.167811459451784	-0.0239288006603003	-0.218956477940491	-0.126430368061359	-0.0347265700518448	-0.162293211343823	-0.25577874717359	-0.256369299025082	-0.1411255821968	0.114664128726379	-0.180823618085544	0.0967927846621673	-0.313173206067902	-0.13373601229546	-0.155704722361501	0.132826812773097	-0.158459132520589	-0.218585617072315	-0.155307723458715	-0.229393982850604	-0.075726049341209	-0.0510167915691477	-0.135665921917346
IL17-1704	-0.180651710022669	-0.0182822054812053	-0.224026822043177	-0.00738018805554024	-0.308244601684982	-0.0528240783939258	0	-0.0578109606954074	0.171016945611977	-0.0787951990965245	0.0315928691750552	-0.0300398813201615	0.117411687293893	-0.00241013059313494	-0.246379409027613	0.00690470012503054	-0.0183743418838384	0	0.0155318777951852	0.242648313989929	0.00422558593757968	1.79889721573551	0.272531294647772	-0.00758911516830524	-0.00570136822422354	-0.171691326508172	-0.00456733275493768	-0.0759125898775724	-0.0408231833052602	-0.00562367485623494	-0.175462724015382	-0.190836652060623	-0.236684625961112	-0.191704661865921	0.192163197119856	-0.196642948580459	0.141448631506915	-0.232093309701941	-0.004080207084668	-0.0658550211169438	-0.0529078986141779	-0.0274171212511456	0.0535947160987531	0.0054711489022931	-0.210275173856743	0.0675334704106109	0.00698521165356266	-0.00686840290191712
IL17-5238	-0.180282030173301	-0.16869476350316	-0.314941611292769	0.558962922382151	-0.265262609851253	0.0297089397893909	0	0.547902014331344	0.873079820609895	0.213375769511451	-0.181162266162505	-0.0607220439180898	0.0200493470865059	0.0246974052160124	-0.359749223605913	-0.00742561512104048	-0.250374816019333	0	0.0147060392429436	0.240907626232871	0.194986260668341	0.272531294647772	1.2299416461449	0.0110169588786793	0.0129047058227616	-0.144226400038105	-0.26874703402344	-0.225882617077985	-0.114936673380836	-0.0891727846694349	-0.225544511357938	-0.290084594045108	-0.301200765221182	-0.175431429068317	0.0672012576991339	-0.206169591041057	0.617713357162309	-0.254314224426765	-0.0854026499789038	-0.196839124303886	0.278522153842029	-0.0759175073991442	-0.00184234556246026	0.0403843094019772	-0.29157962344215	-0.152134373511051	-0.135319330232426	-0.225231270242916
IL17-7334	-0.0709545249798739	0.00378645763775133	-0.174037248125598	0.0557803491874483	-0.203300391618443	0.310685006275987	0	0.286808685602008	0.122545193287533	0.0312245857164736	-0.0317564412331756	0.34129864480119	0.0135950397095396	0.358301568325514	-0.279367171555085	-0.0349311611471708	-0.304438499945324	0	0.132535006198532	-0.0207929497651899	0.297026798637056	-0.00758911516830524	0.0110169588786793	1.20772190660384	1.20434684388563	-0.158574921908509	-0.0541633355842025	-0.266789276848252	-0.0926896172036136	-0.092388439946532	-0.203053365592307	-0.262330638617187	-0.236607142157225	-0.192411355769866	-0.0103009801187546	-0.189185344526126	-0.0229095145206749	-0.332060551833064	-0.0499985696459548	-0.087755708698869	0.00605186893097561	-0.14389839909875	-0.158530817903119	-0.0320992083420315	-0.253544138278055	-0.0612267021356419	-0.168087685920846	-0.186951695490414
IL17-7339	-0.074329587698083	0.0056742045818342	-0.172149501181515	0.0576680961315312	-0.201412644674361	0.307309943557778	0	0.28869643254609	0.124432940231616	0.0331123326605561	-0.0351315039513827	0.337923582082983	0.0154827866536219	0.360189315269596	-0.282742234273293	-0.0330434142030882	-0.302550753001241	0	0.129159943480324	-0.0241680124833986	0.293651735918848	-0.00570136822422354	0.0129047058227616	1.20434684388563	1.20623459082972	-0.161949984626717	-0.0575383983024113	-0.264901529904169	-0.0908018702595307	-0.0905006930024496	-0.206428428310515	-0.260442891673104	-0.239982204875432	-0.190523608825783	-0.0136760428369633	-0.187297597582043	-0.0210217675765922	-0.330172804888981	-0.0481108227018724	-0.0858679617547871	0.00793961587505861	-0.142010652154668	-0.156643070959036	-0.0302114613979496	-0.254287796165119	-0.0646017648538502	-0.171462748639054	-0.185063948546331
RUSHMORE	0.190710047452968	-0.154781580416612	0.0986539460562718	-0.142577565808871	0.113113847582415	-0.185390051316111	0	-0.1851141239553	-0.190481247619849	-0.187678528538402	0.249003738795194	-0.0757694948145509	-0.100661237407019	-0.127081889021884	0.339441842186367	0.121704486563997	0.0141101998004562	0	0.0171675512614123	-0.0701551846322112	-0.167811459451784	-0.171691326508172	-0.144226400038105	-0.158574921908509	-0.161949984626717	1.66141581466868	-0.0831758014051479	-0.193856691040421	-0.202185464182003	-0.127664028453839	0.205108950369263	-0.114192235673259	0.228092003020182	0.873032268616502	0.142500181612244	-0.031272462923328	0.0338947097141033	-0.227238518744671	-0.115445796169653	-0.166694990877345	-0.239268525386804	-0.107322803688214	-0.211708055608231	-0.3795605426218	-0.213314597392912	0.159966315784846	0.013897400015577	0.175032206731258
ND161488	-0.0118783375697107	0.197856453932368	-0.107881546213127	-0.20394448384672	-0.0368464408173553	0.0716430152146222	0	-0.164907492227644	-0.238691141501971	-0.0543214890714945	0.000807077746030544	0.0602189494834997	-0.212466155755187	-0.0516157558401767	0.0355443711645933	0.055949152760877	-0.215567466035401	0	-0.10472167789278	-0.0201287058649406	-0.0239288006603003	-0.00456733275493768	-0.26874703402344	-0.0541633355842025	-0.0575383983024113	-0.0831758014051479	1.72726050939833	-0.0191751478236132	0.0711737602027538	-0.0864061580770202	-0.063264555432048	0.0121449831972261	-0.131064969455641	-0.0492453377244156	-0.00219729712523735	-0.163588150006809	-0.139748222165975	0.062786269570669	-0.0723344945101123	0.234287367817958	-0.0711654942478604	-0.115962463707863	-0.240960386805185	-0.139093878626363	-0.0377559192323908	0.199467175227534	0.253385026625309	0.26452975796571
A11	-0.261520620567377	0.0610666107739552	-0.187892093972528	-0.152792927704535	-0.24586447687772	-0.115985294562097	0	-0.243105557728659	-0.28833667856368	-0.0364137441897567	-0.0151898165427566	-0.203630084918953	-0.201212389170766	-0.0563726222529368	-0.248323672470598	0.00455798653139718	0.0937889848339168	0	-0.088653535031	-0.0445131451582961	-0.218956477940491	-0.0759125898775724	-0.225882617077985	-0.266789276848252	-0.264901529904169	-0.193856691040421	-0.0191751478236132	1.97651440409154	0.176813746174273	0.576457005828965	-0.0188571069558869	-0.14401866215469	-0.190628969513618	-0.144269368614375	-0.293853054022527	0.161553506191042	-0.136179705573697	0.316439846436408	0.0977749098244689	0.361341034404683	0.0732659859145687	0.0908119448451025	0.0382799870143783	0.300900501820731	0.29709924820518	-0.102861250087843	-0.00474353695280139	0.0640269412089908
A25	-0.268533691293388	0.0606320521258053	-0.286078469125814	-0.115526319279454	-0.225247796876706	-0.0497732329944195	0	0.0099362468503373	-0.106342804425607	-0.00440994542696166	-0.0331827095717233	0.0494117196600436	0.000971224179274897	-0.00858039450327471	-0.159290466859806	-0.157707969232184	0.131763640589465	0	-0.0250728782944648	-0.0225807627417109	-0.126430368061359	-0.0408231833052602	-0.114936673380836	-0.0926896172036136	-0.0908018702595307	-0.202185464182003	0.0711737602027538	0.176813746174273	1.54930048907325	-0.0678102370125858	-0.0719197622269416	-0.0852466121020693	-0.0410734527864817	-0.265748549495204	-0.152191751788828	0.0512436267396423	-0.285288637181552	0.130187623558154	0.229554274838435	0.202321288706521	0.0300280527867974	-0.0332393544302827	0.312126336039619	0.284005493874987	0.0315364837162081	-0.201973489903939	0.0421871913596665	-0.0285067865292407
A10	0.0046902506042662	-0.0784530566468232	-0.108918091866039	-0.0549350136852467	-0.096078758060556	-0.0315939817374949	0	-0.0817843507229249	-0.125003220804718	0.120495990010824	-0.047741230184639	-0.111499346120393	-0.121272571197946	0.0107597706497437	-0.177408347659493	-0.125064889925185	-0.0269442559643467	0	0.0112940240012572	-0.034615938439986	-0.0347265700518448	-0.00562367485623494	-0.0891727846694349	-0.092388439946532	-0.0905006930024496	-0.127664028453839	-0.0864061580770202	0.576457005828965	-0.0678102370125858	1.84939196547411	-0.0537292547360979	-0.118269337423266	-0.12412269893705	-0.0430872449136586	-0.0899090895721879	0.0804146849614146	-0.0683093611692195	0.00690330900346502	0.00382626368767169	-0.0102482318849353	-0.0585365151369357	-0.128784454614416	-0.0810233410891842	0.0533024829653365	0.0476327491832289	-0.0487356424989886	-0.068760266856398	-0.0560474184522198
SD181237	0.0237915504147493	-0.00856290254853837	0.352760222001304	-0.179161794999235	-0.0656459711959534	-0.153557754896696	0	-0.31906033189804	-0.26653654927739	-0.126900778976387	-0.00335568654908399	-0.0834082708623152	0.0705557863569362	-0.100512402264759	0.730381169350955	-0.116261940915141	-0.00824557845091113	0	0.0858395153168596	-0.13839600050248	-0.162293211343823	-0.175462724015382	-0.225544511357938	-0.203053365592307	-0.206428428310515	0.205108950369263	-0.063264555432048	-0.0188571069558869	-0.0719197622269416	-0.0537292547360979	1.72755235492633	0.134651230609484	0.962429660649235	0.1666757811935	-0.1480943424898	-0.119413361953327	-0.161969240466709	-0.189472417049653	-0.207533802446369	0.0473752345044092	-0.285306947118477	-0.165962730777927	-0.120913426120349	-0.204560958537269	-0.184758412606902	0.00225773565563608	0.0982780643517363	-0.0695127328257461
SD170935	0.109726708368607	0.10368630371677	0.153187955775895	-0.330538237114198	1.09916516752748	-0.2549375052199	0	-0.396757438740937	-0.352127870613724	-0.246700363117609	-0.0442131257559462	-0.211102069496973	-0.198748707893825	-0.167683889783074	0.237407264452842	-0.264521812933219	0.244199459619636	0	-0.0944823799407017	-0.0656178667043534	-0.25577874717359	-0.190836652060623	-0.290084594045108	-0.262330638617187	-0.260442891673104	-0.114192235673259	0.0121449831972261	-0.14401866215469	-0.0852466121020693	-0.118269337423266	0.134651230609484	1.96257638678153	0.357621050427445	0.38418118070462	0.100987914995062	0.110664735052485	-0.370751423601128	0.349795747615732	-0.0116639682454435	-0.0212111168247712	-0.344683381538647	0.0246442937607041	-0.156607217060213	-0.178416735945217	0.174258521125031	-0.0802170155838071	-0.0170892472770265	-0.0296271594169343
